Date,Guinea,Liberia,Sierra Leone,Spain,United States,Senegal,Nigeria
2014-03-20,0,0,0,0,0,0,0
2014-03-22,29,0,0,0,0,0,0
2014-03-30,29,2,0,0,0,0,0
2014-04-01,80,2,0,0,0,0,0
2014-04-02,83,5,2,0,0,0,0
2014-04-05,86,7,2,0,0,0,0
2014-04-07,95,10,2,0,0,0,0
2014-04-10,101,12,2,0,0,0,0
2014-04-14,108,13,2,0,0,0,0
2014-04-17,122,13,2,0,0,0,0
2014-04-19,129,13,2,0,0,0,0
2014-04-22,136,11,2,0,0,0,0
2014-04-25,141,11,2,0,0,0,0
2014-04-28,143,11,2,0,0,0,0
2014-05-02,149,11,2,0,0,0,0
2014-05-06,155,11,0,0,0,0,0
2014-05-08,157,11,0,0,0,0,0
2014-05-12,157,11,0,0,0,0,0
2014-05-15,171,11,0,0,0,0,0
2014-05-24,174,11,0,0,0,0,0
2014-05-28,186,11,5,0,0,0,0
2014-05-30,193,12,6,0,0,0,0
2014-06-04,208,13,6,0,0,0,0
2014-06-06,215,13,6,0,0,0,0
2014-06-10,226,13,7,0,0,0,0
2014-06-18,264,24,49,0,0,0,0
2014-06-22,267,25,55,0,0,0,0
2014-06-24,270,34,34,0,0,0,0
2014-07-01,303,65,99,0,0,0,0
2014-07-03,305,75,101,0,0,0,0
2014-07-08,307,84,127,0,0,0,0
2014-07-10,309,88,142,0,0,0,0
2014-07-15,304,105,194,0,0,0,0
2014-07-17,310,106,197,0,0,0,0
2014-07-19,310,116,206,0,0,0,0
2014-07-24,314,127,219,0,0,0,0
2014-07-27,319,129,224,0,0,0,0
2014-07-31,339,156,233,0,0,0,1
2014-08-04,358,255,273,0,0,0,1
2014-08-06,363,282,286,0,0,0,1
2014-08-08,367,294,298,0,0,0,2
2014-08-11,373,323,315,0,0,0,2
2014-08-13,377,355,334,0,0,0,2
2014-08-15,380,413,348,0,0,0,4
2014-08-19,394,481,365,0,0,0,4
2014-08-20,396,576,374,0,0,0,4
2014-08-22,406,624,392,0,0,0,5
2014-08-27,406,624,392,0,0,0,5
2014-08-28,430,694,422,0,0,0,6
2014-08-29,430,694,422,0,0,0,6
2014-08-30,430,866,422,0,0,0,6
2014-09-05,517,1089,491,0,0,0,9
2014-09-08,555,1224,509,0,0,0,8
2014-09-12,557,1137,524,0,0,0,8
2014-09-16,595,1296,562,0,0,0,8
2014-09-18,601,1459,562,0,0,0,8
2014-09-22,632,1578,593,0,0,0,8
2014-09-24,635,1677,597,0,0,0,8
2014-09-26,648,1830,605,0,0,0,8
2014-10-01,710,1998,622,0,0,0,8
2014-10-03,739,2069,623,0,0,0,8
2014-10-08,768,2210,879,0,0,0,8
2014-10-10,778,2316,930,0,0,0,8
2014-10-15,843,2458,1183,0,1,0,8
2014-10-17,862,2484,1200,0,1,0,8
2014-10-22,904,2705,1259,0,1,0,8
